gene	score_diamond	step_added
85235	3.5308836005578484e-06	1
8331	2.3563981657993803e-07	2
8970	2.8718413166665563e-08	3
333932	3.6715996346707144e-08	4
126961	9.108479379035006e-10	5
8338	4.826242853843974e-11	6
8368	1.0617267308842513e-11	7
8364	3.5441207654649947e-13	8
8359	1.3630250545014308e-14	9
8336	4.3276970026314737e-16	10
8366	1.3797090836565294e-17	11
8370	4.230459891644609e-19	12
8363	1.2664339052435297e-20	13
8365	3.702459158555835e-22	14
8360	1.0572318881227321e-23	15
121504	2.94872864499868e-25	16
8332	9.781603030167195e-27	17
653604	1.4650174081523664e-26	18
8335	3.18407756308274e-28	19
8347	2.1304641088048648e-29	20
8362	7.099750804141127e-31	21
554313	2.683664190957096e-32	22
8294	6.588565133153346e-34	23
8969	7.202435665385845e-36	24
8330	2.4257282245347515e-35	25
8343	3.508098416735318e-35	26
8346	9.736194030840987e-37	27
8344	1.7639909132327845e-36	28
8339	2.0147217901485425e-38	29
8329	4.031609091314974e-39	30
8337	6.0912635633300295e-37	31
723790	2.0112537329880011e-35	32
8968	1.8941681775991447e-33	33
8358	1.4636323934022239e-34	34
8357	1.059182431946601e-34	35
85236	1.2855998971554332e-33	36
8354	8.182831445842773e-35	37
8355	1.3281642228585437e-36	38
8350	9.299146086106359e-38	39
8353	4.677502715412085e-39	40
8352	1.837797871825414e-40	41
8351	2.850333247818156e-42	42
8356	2.9263316697835735e-43	43
25842	1.5658763076812003e-45	44
3018	2.3750096183336782e-43	45
3012	1.2602244940100478e-43	46
3008	3.711881004510067e-45	47
92815	2.2781335156975564e-38	48
255626	1.0053242775540811e-39	49
474381	8.520841351256778e-41	50
474382	1.3184506458437056e-41	51
83740	5.090889141540736e-44	52
8290	1.6318007988956113e-43	53
3013	3.198803919641005e-37	54
8334	7.786058346832247e-37	55
8348	1.2812836132780941e-36	56
3014	1.3725875190318898e-31	57
55723	9.606251044625028e-29	58
3005	5.3693145540877934e-27	59
128312	7.72940893580342e-27	60
6749	3.8563289842497277e-25	61
8467	1.7775815531921906e-23	62
11091	6.46039844025837e-22	63
440686	3.390421632233109e-22	64
221613	6.597646586940175e-19	65
9219	7.304200160801296e-15	66
440689	2.511060820427298e-16	67
317772	1.0840167058853121e-16	68
8819	6.5852653552639694e-18	69
3017	1.7195791559421746e-16	70
55766	2.985410350376736e-17	71
8341	5.061457548857408e-18	72
83439	1.1601346818735885e-18	73
90780	1.4423486870312025e-18	74
54145	1.0986719320170133e-18	75
221830	8.547129667580694e-18	76
8345	2.2118044853646232e-16	77
2811	7.473098995019203e-18	78
8342	1.5809578484962676e-17	79
8340	4.9967272544855154e-18	80
4438	1.2491062129961525e-18	81
84057	1.4778158012912226e-18	82
56154	2.3530714084421167e-17	83
595	3.233001553647931e-17	84
55257	1.5827385347923115e-10	85
8850	2.8987840424991517e-10	86
8089	1.0840524919617827e-11	87
440093	1.1684425084964542e-08	88
55170	2.6676613408072124e-07	89
165918	1.625675409199922e-06	90
29128	6.146750825176677e-06	91
8208	8.889491161916155e-05	92
112869	0.001667830430241172	93
158983	0.0026981593937661866	94
161882	0.0027549627494244224	95
9757	0.0028123578067040978	96
3024	0.002870344565605213	97
7832	0.0029289230261277683	98
8971	0.00864220964033091	99
132243	0.003047855052037199	100
6871	0.011194431008375421	101
51616	0.006224049822931031	102
117143	0.0005885717485401076	103
10629	6.071503720492557e-05	104
6880	8.133524703981635e-06	105
6879	5.004929136775778e-07	106
27097	1.6871731669650144e-08	107
124944	1.2153955637291607e-05	108
83860	7.60596280655774e-05	109
138474	4.3928327696797756e-06	110
387332	3.1529967727689355e-07	111
404672	0.0004243875738380231	112
2961	1.668721627612399e-05	113
3622	0.021765760881348226	114
23309	0.0009586381943615405	115
7979	0.035925024792441855	116
51588	0.05245878997234984	117
1874	0.05326846428558973	118
894	0.05408304269332518	119
1032	0.012531464398055721	120
1870	0.03882861339491325	121
5729	0.004512316565101084	122
5591	0.057389832061898835	123
145258	0.06851549755301795	124
83987	0.06905927134312126	125
64431	0.06960304513322457	126
29947	0.0701468189233279	127
125997	0.07069059271343121	128
55167	0.07123436650353453	129
1070	0.07177814029363784	130
694	0.07232191408374117	131
11236	0.07286568787384448	132
79447	0.0734094616639478	133
161725	0.07395323545405111	134
1046	0.07449700924415444	135
27287	0.07504078303425775	136
23252	0.07558455682436106	137
92552	0.07612833061446438	138
133746	0.0766721044045677	139
9306	0.07721587819467102	140
343637	0.07775965198477433	141
5897	0.07830342577487764	142
10428	0.07884719956498097	143
7844	0.07939097335508428	144
122706	0.12925523968308933	145
5689	0.04024215705133288	146
5691	0.00590654795279164	147
5698	0.0006089088566705565	148
5702	9.094020653564638e-05	149
51371	4.499756295515433e-05	150
5704	5.030016822536794e-05	151
6469	3.945384535601458e-06	152
4855	2.947099105280071e-05	153
134510	0.007153672603209035	154
388585	0.020515150718592935	155
23493	0.039205293320715914	156
26508	0.02102667177774469	157
4854	0.01120314862948971	158
3280	0.037295098376807896	159
3549	0.04109621206017803	160
84976	0.007812236507871702	161
54492	0.0660339955323452	162
54567	0.011579845012739851	163
3714	0.002701060239275547	164
28514	0.0008519192903330705	165
55851	0.01329564346568217	166
1840	0.023672152977891714	167
23220	0.008499793791984928	168
85455	0.0929853181076672	169
92737	0.09352909189777053	170
2619	0.09407286568787385	171
9253	0.09461663947797716	172
5883	0.10459637810582595	173
2178	0.048012373041829384	174
2188	0.0032623205248020976	175
8553	0.003316786808422616	176
135458	0.09733550842849374	177
57154	0.1098446793232783	178
4092	0.14552200180731079	179
4654	0.1119675508191052	180
79365	0.05164017096635706	181
4783	0.10005437737901034	182
7043	0.15091063235520025	183
23645	0.053228782882014616	184
650	0.03942771129914417	185
25928	0.1022294725394236	186
9350	0.10277324632952692	187
8975	0.1960100376263061	188
6478	0.10386079390973355	189
51001	0.19795969446895076	190
80351	0.19893363533784092	191
348110	0.1054921152800435	192
345643	0.20087974197075692	193
10309	0.10657966286025014	194
112398	0.20282348179718715	195
54583	0.20379446415797015	196
7428	0.0324711216746267	197
9978	0.08552951527153935	198
51138	0.06146903255275126	199
339745	0.0620356633987471	200
